family_id	requested_bytes	live_count
51352243c3ef419b0629c113a9642e92acfb897c76cf3821219207148c5fdcd8	21672	1
65a2a8416e34e81374d9d652243bb2daca85a222bfdd65ec5abfc83f91f4853c	21632	17
09d69e0507f94583b57cf6d925bea537e480b526580fc4d762c3cd2c9e1d3353	17616	3
5b6fae662b69e086384539388fe1c7d6d7a0ee6e849b27e11841985cc4d64743	17244	1
e9e36b6fee08c8530f043c28b923c05aa6f54b86c2ea984b5305060cc3bdbbdd	16480	2
648a086a32bed56e5591707fc20b6ade74a2e407a393f34219628ea9e78e57f9	16384	2
edca9c120dbdd573c00e82e191d271e7b19181a0032d8fd6e8d3ae34da727e2e	15412	452
73af0c4b26816bedafba2b517e4dfcbcebc37c25ce17126965b880b2e927b9d5	14036	557
31aff74db2a43b7a3971bfad1f70185af06b2345a2ad85703568a213207400bf	13924	31
3ea6b7ef3e4809b2c595757bb5b28c2724c202f9649471266a374cd1f622738e	13504	3
bf30fe65930798cf42dc8cd5b6b442ba3eadc22657934e1df773321e0e0a55c0	13208	104
bea9044e3e3f02ebca208d41833de32f07f3c1b382b46fa298affc749ade6675	12968	1
4321aca5eb6d09c72924ba0c1e2203d171fa1d29b126b0174ef493772fc725c8	12324	2
fe8516566119313a78bf2085ac61ec31be0be907f3c67d2099889056ac35db03	12000	1
a3353e2554b3bb8ba5a061174a65fc06338ba76c5d563799730dd4d2b75a1738	11760	210
41ea9e5a1ce7cd740a10b2a74b449f6d8a1242496c66b807fe0c1d16c55f6f4b	10752	1
57e3f01f8a421ad930eab69ad8d06e78cc201a159e425fe09a57a3ffc0c61860	10348	423
a0d7ed212e80f62e51e102961319a29545700fb224ffeedd71b41c568842cc5f	10000	2
2dc8640212bc24c9cb7f1b8dc92deb9c1b24b4a1925fbf672ed948ae9e486fa2	9832	4
e925e6e7e555f145dd3cb9f670562e620dcb162209e86c1dd494424e5eca2fcb	9360	1
5663a90e5ad0f920cc3ce3a753441f8ac3826da4d66c827db4510731cb58435e	8876	83
97ecb8bfc0028b73c2d3c2fc301f8de4c7ab36fdbd3d6d46d6c8ce1165b3bafb	8656	1
4d78d0f93d2bb6d4a0c610d85c5ccb18cf68275c4f037fa7a4ffc4f120ea63d3	8616	3
6a345445d81fcdce75364c898a44e743e18e46e462fd1f959258f2b34ffefd50	8608	1
7de04b7e12857349d62ac093a9ee8ef4b80f1e520d6be9622526ac5b71f46d03	8312	1
72204921509737c486b146f3d6df800663e7a2c911de8a897241ecf87f90b6f0	8247	164
36e8d6c79d4203243eb4cf2227658311b693c9ba06400707d19018f95d81a0a5	8208	4
f123e75e3ee93fe3b0c416d03db584ccedf8366949254ef9bb474e2057c061a2	8208	3
c2e2aa1719fc5e170a6fed0895fc86b69c33698bc1214e300d6a7277f1d64e1f	8200	2
39fbe73b19a605479458b7e9c5e3d82938540d5dc15f09de42f3c117ac94347f	8192	1
55a3056145b9a61a27f775dd02ca4af81944cf305f615bc8eaac4aeb6341e089	8192	1
390152630b1c8d7231daf3bc4bbeba80d43919ec544083bafd542b316c37e645	7920	22
3c97c345ff0aa1efa63d4298c46ffc3813b802896104348c00fa5b234145fa77	6624	5
aa69e0247d6c7f0ba29bb87258288e99ff7e061ff2ccd88c449f86c30c99a901	6600	111
77be961186e8c758162cbe177fecb1797f0f5a45bff59be0103d2abf25eb47ff	6592	1
9b4b0e71bdd12fa0cdda3bf87bbbb6153a3a180abb0613930db9812de8eb26f5	6528	1
9c791a479ed76913f653b765e9cce79232e5344cf99734c88619482cf4c9449d	6240	1
63a0bcab113124cea1d340904f8d1112383d840d9dc5c9bd3d4f26e8d80f91c8	6203	101
b36cf8f84c56662a6d25bdb148e239745319ee03cd77042c4d3452cbc4fa7f92	6144	1
d84f244a8be11a494e657582cdbbeb61fb7500a3323a1146b5ed65a0bdde6320	5984	1
e13fbac0260299db4b752e20cc6d8ee25e29bbb6898bdf658a1cce842d003a6a	5652	1
5bed7611aa5f3463bd02f80b4a26ca28c2a87d65b12459d991961d442a26506c	5615	2
b17f58c24a42914fa8afe413c8a4a9a2b028afbcb1c1f0f5346a09b4bc804986	5168	1
ef4e540fe6ca247a4cf69e629f80d84235a5ce36f852a4383b9777e3d14e36f1	5080	3
089bd16d9c1cfa119f391df034aa69d602ca84c9b94a1790528ed106e8332a71	5076	1
096d438c37c9977fb6448fdba38a462e10644befdb233603dda487b12b40abdb	4568	9
9755733fa1522ca3bf93357623d0274e0574a249b2ef0ef2520fff4c2a2f47b3	4368	1
774ad503d73c6b03581e89149f583cf55edf26885ea1dd95a71c2a5a178f509c	4344	48
7390bfaaf5260a1e2baf35097ad4109fdc35d54f18f868aa58fa2f1bc697eaa4	4104	2
96783696ec85188ab0bea7729f6f03b6241d04f1561bcd98182cc7a2608798c4	4096	1
077c2ea1015258eed6fb0e1a208cf63509b7c47248559ed46c94400c66d1f7db	4013	96
67bd84f807035d03fe0592ee6bbe691d2f34a724fcd0615821b1ce5fc5af7a82	4013	96
372ae53a11f2bdf70733d50514e75dbe17f17b594b5e03286eabb2f26e62f36c	3696	1
5d114bf99f786e6582f3469d0f13eb24f148bc16d91076e6ca9f9bd45d28ccd2	3600	3
34835e55991ddad8e12d1e9b0ab1c03995a2e9cbd60ae14ec67260f563c66ce3	3332	2
2ff72b912185d9b8008c8977b5fbd79f917e3a86fa0482096dcfcb04517c8b1a	3328	6
a61f2c4ca45cbb759181ebb6e0b7ddb26c5daabd96a483c21d4de97b38d35e4d	3328	2
714096c6affa162b7d3d534d211c6ec56d7d26ac8c89c0abdf71e05d7eb9cf3c	3256	8
24ab923e26e62b9346f79fd5a158e62c6c8b9a73a6d0c56c5430266d5d5c7030	3128	2
8a03ed7948fe4873d3a76e1259e9718c0746d3098bbb2525a8e7f9a4e97e63db	3081	255
47500655bdb82fb36e8da6ba314c300b4e1ce026d7ca67672d52cd8d5119ee71	3003	100
72cad0026120c50af7d386321b6ee737585055b163be5bd0db7aef205508c22c	2840	1
9bca4819bbcf39109cb4aed77a08ddc96c77d8c37c2271576434542e038f3c0f	2784	1
ad9b29abe09e8e4fc90dab8e0e38fbae9774c86ab385c2da3fafd5a05c6b68f3	2712	3
c1e80a793bea5d52cd15de42dd5e4cfa39d9b1d1553213b5326560387ce5bda3	2320	1
c518a25bae52605c156e62fadaae752f7d66d70871b0cee73a374b64b113d409	2280	18
54f28f909c1b60a73faec748454b11c9412612ccdf73a4973c06a7d388e9fa00	2264	10
55f28fcbd17be75b3b499de20199547c4b78e4f14fd46f6b3dfa83d7aab4f14b	2163	2
ba6acfe4a53dd2ba39bf9f7d31cfb7a69da4cc73306c74bb082370b9807324a6	2160	72
79e9d47497ab7ec6e07c2f06ed8e6e4814f9e6e2cf84e351cbb718ff6dddbc3c	2152	258
67248a1377ac46351668ea2dd17a7513363e9955b9bd6537ef3ad46cf25673fb	2112	6
53478f19ea5fe9a6b3dea01118e093c155d769afd012143a1d8e445a3086a1d7	2064	2
ac65fa5e49fd9ebc7127705845b1593e039936602486a252f90e700cb7e60591	2048	1
89d3b40d4d69e11b8d19c559920a9a3c50cffe599e6619f07eae9809c44ef49b	2032	48
af9eb3ebff370285456ff84de64b1426dcd61574fae724cdc8bc28619eb6ba5b	1888	7
da509e37f06204c3d6ebabc4cddfbc46ed79788ed8b135e6bde149e1a1556f66	1744	1
639511caff4ca9379f4c3593474a84e0dce66148a37e47055a9961dfd1b34898	1504	5
2bc56048b24176b1607f5a9248d31e911dbadb2c4ef1929d038361c9598f3289	1436	1
011610dff68d7355846fb92d0395271a165614a80fd394b0414cbffdc968540c	1384	1
7208c76875d7f972c719a523514a849d05d1ddb92a6974d85d102ac98af929f6	1368	1
e821e91c59f08171d755f86808d0a7e4c21f771576e0d619869f62518dac7180	1306	2
b4b209c65185ca8c9d2323f054be7a1f73d613d47ed9a29a5ddb002550fc368e	1280	144
00c89763cb26c53bed59b71a5393770b74a863783f5db603679629f01cb05f12	1248	1
6abb066cf89663373768d54528edf59c7d2089ee2c4a0637ae919947ff155460	1248	1
8c51a436a79ab5a2ba2898add0b10f5a53a5813fbacec03a3090c463f928f670	1248	1
469c2cfc65481f04e7a0b0d80414270de711c945a86d8ecff0ae9131416c82b9	1216	1
65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	1128	11
268f7bdf5b2adcdad40216436e81d1d98b856a0cac65cbcb37464faf2346fa85	1077	11
1942fbac2862122b389c0331272cc3bea5f0e29c1cec1a52d5ecbfa08a7fb254	1056	4
eb965d7f0dda95cd197ac8b79ecb3286f8ad3ad63daa9c93d6b18139ed011ead	1040	2
d4d5ad300c90110fa0a60afd68522af872b590becb95435e2c0b6bb56fb42486	1024	1
e167aa90deb0d855428bcce169bce2042455e236c234be6545b55fbb0eb056a0	1024	1
0af2463f5a76eb26a859b838f7c880ec3d700be72c8501a3ea055dc48a3458a2	1020	136
6792a80fce9588b41a42867e7103829ad3de44ed5e5ac9364ec5c94d9ac287fc	1019	38
c200d6087d18deb4a786382325681acbe6f05d25d9bc9beead67d0d26b855caf	1000	1
0928fc24fd207c1be570d15d500acf23e0b01c83ba5b4d3200e94599815089ce	936	7
f20f719ae83ac5c6407ebc5559bf207d7df223889025847c2e379ceccd5e1e9c	896	2
1a862f2fce5b3dba6dc981a90a808787b89171a4f426b49a5cde3fc695b012de	881	38
53ac3631f42df5b49d4fad740c7d5cbb8833f3db194a8d892f08cc32e8c538e5	864	36
b5b67e31e8ac0052c55680efde21373657e30a9b31fe2b117ca8cfb35e1b5a03	832	2
a202f9664c232a3e70bf226a5c696a716cb637088ebc6249de6c45f18187d078	824	1
7ddd4335e938a97786c20127d1bdedd53316ad0dd76f07c9e880909b96111557	816	4
7c722e0367e24c3303514a208201431e22576edf106762cb6f02e1523bb82bc9	776	1
27f26f6476ccc61a4282dd55be700d53e4bfd6cfbb2ffa44f43920c91a3a589c	760	3
8d0bcf0af7d2e252b4e0eedb2e38cc757da0ff7d9dc3d7602de62f41d96824d7	752	1
a1e3283a7532242597e47eba3280f608ee0f4030bdae532505ee27aa8e8af194	744	5
ec51e48b0e1dfa29517cc0204670d12cc5d4a19ea45cab8b7b017907a213e5d7	728	5
dc877e0c4569c6b1db219e81b7ab5dffce40b52836cdebb3bc74db399070c0a3	680	68
1ee0c53f4c4a41a7428af09047e7c578bb79fcd5eeb943a902dd641d10c3fb5d	672	2
b0ef6f3ca41701fe941c5ade4b963755cf1754c1ddce8e7de3c7479910de6fb2	652	6
baefb88c68da06e8c362bd8929c568e0523f83fa54eb3f6aec121155b0dd6c98	640	32
4bddbacd6e7c2d367e569e46953d56c431aea573962b5e266fa80b8fda61c3db	624	5
ab19d9da3635817e1740b395f517731bb070ae325a69972697fd24d4ea13d17c	616	7
19068f6c963fe178f2b4c0c6758aa42933b8303661e010183c4512e86b90a955	608	1
3fed89e0f53b4492788305da49c9c2eb2cb3a7d2a50c28ce8e621aee97dc5cb8	576	3
549d2828f4bd60b6f928e9649aeef9539a53e8115de8c250dc64ff495cff50ca	576	5
fe0773d0ade3ed06a6aaf70237567dbf9d1e8f26fe9c3ce8f63614be3581bb13	573	75
5662a0001a74eee824cd15bacba0f92c48b36f9679826fe766bc94c3b2cc977b	560	5
9e23ce7ee7495f5f7540f25562d428c93500bc0e8bbfde42c655c2a8f8845270	544	3
d3c1c73d401ec2de4333aca1908bb27614668e4e834d4bf02434dec8b9107771	544	2
b7d7fab3bccff4d7fa1569eca084d9f0d7e82dcb6205cacd5055167e2d24488a	512	1
de01b46e76e67df38a06f6e161382a6658c5a09f7cd6082993ab1075c0944c5a	512	4
41038b466700ba353285575e7ee52bc2d9fecc3394d4f3b6e5bceea931723a35	496	1
dc841b418a43489285004497520904bab350e475f311241b0bb235ba9fcf4c8a	468	1
9a3a8f635af85d906c14758e4e25867141c18ad3a93759dee4b23b0fba0c00b1	456	3
488ccd2972689c285f4bcf3859732b3e5b25566a2287e3395438624af7176a56	432	2
4091cfb523c06c1d5d7ece656a18793c86176d3f3d39a54e1d48011055427f50	424	3
ec8fed4bf55c3eafa074bd5eb3e5425b6fec8022cf6682a73c71a57f877713aa	401	13
1a15b2427143050134127ddb41b696681591c99059b4e61dde411b66deb567fa	400	1
52e3502a02f1e0979a53b6a0df6729a8d0cab14ffb903b2f0d2a65a2b050b1cd	400	10
265c5f756961b203b2872a6afdd9130aa0e18c76b13e75610e889657857658ec	384	3
fc2da8fba9e079d471b644a9b1c677eca407d7961f4c0267bb332715e144686d	384	12
1abc8a2c2e2aded08dca4dffad153d69662f8378056f54fec34f15749d4568eb	368	2
2fb231e1308fccb0e5cd2ea0cedd178d50ff9ed88231713caf6d9bd1d1dcc2fa	368	2
7342eeea1002be07c0e17d3c8bf84ff299d0850bc6f1c51308e334e36fbb1baf	368	1
dec372a81fa7cd72cb162a4e8bd44d5a765f5f452f57e3542a3aa58b1a77cfca	364	7
621e876fa28baa2e1a28044329820ba92a08447fdfbdc2e5f2016000f864775a	362	4
048227bfb6448da351d12facc82be723e159520e075d8b3d66bb1d16b71e9999	344	1
0acd8c5232f54ca5d248bc9fcffa2e19db0afd3c11ab290ad7895f143331e527	344	1
35e6f0f9976ea03318a2d43ca289c46cc38b85acc35045c428ed6b04c0a4fc27	336	42
a7802d8912b0e785b6d072b59852914ecefff8bd5a0d9e11e712e34276fcddbd	336	10
86e0bdae1754b7938e4b27cab6782ab463e58555a18bbeb1080c2f8bddbd0e6e	334	6
8a8a5ef0f3b1ba216008817c34c3e1a0b0f530d6edd5a46d96687f1c4b17d842	328	2
47d507281cbd04f7fdd3ad90f9c010504bcfa4eb45a7edeb7e9d13c016ddbc27	304	1
05bfbb0311ff41c34a955b06da1c5819a57768e874cbcd6a400c1d153959af0b	288	4
